District,Y-Power Score,Opportunity,Workforce,Education,Readiness and Skills,Total Population,Total Youth Population,Savings per Working Age Individual,Mudra Loan to Labor Force Ratio,CSR Spending per Capita (Rs.),CSR Share (% of State),GDP Growth Rate (%),Per Capita Income (Rs.),Trains per Week per 1000 sqkm,MSMEs per 10k Population,EPFO Firms,Number of Jobs,Employment in all MSMEs,Registered Unorganised Workers,Labor force participation (%),Unemployment rate (%),EPFO Coverage Rate (% of the Labor Force),Women Hostels,Schools,Enrollment Ratio,"GER, Higher Education",Test scores (%),Number of Colleges,Libraries,ITI Seats per 1 lac Youth,Seats in Top 3 Trades,Sanctioned Trainers,PMKVY Enrollment per 1 Lac Youth,PMKVY Enrollments in Top 3 Jobs (%),Apprentices per 1 Lac Youth,Enrolment (6-12 average),ITI Certified Trainers,PMKVY Trainees Certified %,Learning Outcomes (average),ITI Seats Vacancy %,ITI Trainer Vacancy %
Bagalkot,49,39,54,62,42,20.6L,6.3L,2.6L,57K,22,0,N/A,N/A,32,245,807,8.9L,130.1K,4.3L,61,2,3,N/A,2.4K,85,N/A,38,127,151,907,3.7K,674,82,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ballari,51,59,46,56,41,15.8L,5.1L,4.6L,1.5L,1.2K,10,N/A,N/A,54,312,1.5K,7L,134.6K,4.8L,57,4,12,N/A,1.3K,76,N/A,39,107,40,1.4K,4.6K,808,111,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Belagavi,48,41,56,57,39,51.6L,15L,4L,59.8K,36,1,N/A,N/A,28,287,1.5K,22.4L,383.3K,10.1L,62,2,4,N/A,5.5K,80,N/A,38,290,330,651,5.9K,1.1K,242,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bengaluru Rural,62,79,67,59,42,10.7L,3.4L,14L,60.6K,1.5K,8,N/A,N/A,243,936,1.3K,5L,271.4K,1.8L,71,2,34,N/A,1.5K,77,N/A,41,124,12,620,1.3K,231,1.3K,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bengaluru Urban,62,88,66,38,56,122L,40.7L,46.3L,38.1K,6,0,N/A,N/A,365,445,32.4K,59.4L,1.5M,5.5L,62,4,101,N/A,2.5K,35,N/A,46,1.2K,10,163,2.7K,671,370,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bidar,37,37,43,43,25,18.3L,5.7L,1.9L,38.5K,36,0,N/A,N/A,22,208,328,7.7L,99.4K,4.1L,58,5,2,N/A,2.8K,67,N/A,36,168,53,1K,3.6K,642,1.3K,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Chamarajanagar,38,37,51,40,27,10.7L,3.2L,1.9L,62.6K,79,0,N/A,N/A,5,208,229,4.9L,57.6K,2.4L,65,4,2,N/A,1.2K,59,N/A,35,36,3,765,1K,234,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Chikballapur,42,38,54,39,36,13.4L,3.9L,2.3L,37.8K,2,0,N/A,N/A,64,272,203,6.1L,94.4K,2.3L,60,2,2,N/A,2K,61,N/A,35,65,48,696,1.6K,281,146,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Chikkamagaluru,47,44,52,48,42,12.1L,3.4L,5L,52.3K,82,0,N/A,N/A,33,269,892,5.4L,85.5K,2L,63,3,4,N/A,1.9K,59,N/A,38,40,45,818,1.1K,280,703,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Chitradurga,39,40,43,47,28,17.6L,5.2L,2.2L,64.3K,30,0,N/A,N/A,16,222,302,7.9L,101.9K,3.2L,60,5,2,N/A,2.4K,68,N/A,37,92,71,834,3K,514,751,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dakshina Kannada,57,71,55,69,34,23.8L,7.1L,14.2L,48.7K,164,2,N/A,N/A,47,344,3.3K,9.6L,220.4K,2.5L,54,4,244,N/A,1.9K,83,N/A,42,296,30,608,1.4K,456,275,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Davangere,46,44,55,51,33,18.2L,5.6L,3.1L,80.8K,24,0,N/A,N/A,40,294,832,8.2L,140K,3.4L,57,1,4,N/A,2.1K,71,N/A,37,97,23,969,3.4K,608,93,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dharwad,57,56,59,59,53,21.6L,6.5L,7.7L,57.7K,92,1,N/A,N/A,80,370,2K,9.7L,211.2K,3.9L,57,2,14,N/A,1.7K,79,N/A,39,186,40,911,2.6K,609,561,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Gadag,45,37,55,54,36,11.8L,3.6L,2.6L,48.5K,38,0,N/A,N/A,33,243,372,5.2L,73.8K,2.1L,62,2,2,N/A,1.2K,73,N/A,38,90,30,1.3K,2.6K,458,466,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hassan,52,45,53,57,52,18.9L,5.4L,3.8L,52.7K,11,0,N/A,N/A,42,286,947,8.4L,142.4K,3L,61,2,5,N/A,3.1K,62,N/A,43,92,65,1.3K,3.2K,740,494,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Haveri,41,39,59,43,23,17L,5.3L,2L,44.9K,66,1,N/A,N/A,35,256,476,7.6L,113.8K,3.8L,61,1,3,N/A,2K,69,N/A,32,63,45,729,2.6K,459,504,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kalaburagi,40,42,40,42,38,28.2L,8.8L,3.5L,30.2K,50,1,N/A,N/A,24,174,993,12.1L,129.5K,6.4L,60,7,4,N/A,4K,74,N/A,33,287,50,850,4.1K,819,371,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kodagu,46,60,48,59,16,5.8L,1.6L,7.3L,75.9K,148,0,N/A,N/A,N/A,295,759,2.6L,46.1K,68.4K,55,3,8,N/A,650,64,N/A,44,29,19,560,252,90,97,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kolar,47,48,56,35,50,16.8L,5.1L,2.8L,69.9K,146,1,N/A,N/A,107,253,517,7.6L,112.6K,2.6L,65,3,5,N/A,2.5K,57,N/A,35,100,50,877,2.3K,470,341,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Koppal,49,43,54,66,33,14.6L,4.6L,2L,37.1K,32,0,N/A,N/A,29,199,434,6.3L,77.6K,2.8L,63,2,2,N/A,1.7K,76,N/A,44,71,13,836,2.3K,438,297,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mandya,45,40,56,50,32,19.1L,5.5L,2.4L,58.7K,32,0,N/A,N/A,50,253,972,8.8L,125.1K,3.3L,69,3,3,N/A,2.4K,59,N/A,42,83,36,936,2.9K,533,257,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mysuru,50,53,55,48,45,33.6L,10.2L,8.4L,66.8K,146,2,N/A,N/A,45,346,2.6K,15.7L,305.1K,5.1L,66,4,12,N/A,3.2K,70,N/A,35,190,21,587,3K,630,164,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Raichur,44,48,44,57,29,20.8L,6.6L,2.3L,38.4K,47,0,N/A,N/A,13,181,703,9.1L,102.2K,4.3L,58,4,3,N/A,2.5K,72,N/A,41,166,27,410,1.7K,306,159,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ramanagara,55,54,50,63,52,11.6L,3.5L,6.4L,54K,1,0,N/A,N/A,N/A,322,565,5.3L,97.7K,1.9L,68,6,12,N/A,5.4K,511,N/A,39,54,2,697,1.4K,275,197,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Shivamogga,45,47,55,47,31,19.4L,5.6L,6.7L,66.2K,24,0,N/A,N/A,15,303,1.1K,8.7L,153.7K,3.6L,63,3,7,N/A,2.7K,64,N/A,36,88,56,805,2.2K,479,282,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tumakuru,47,43,55,50,40,28.6L,8.2L,3.2L,50.2K,63,1,N/A,N/A,29,277,918,13L,207.7K,4.2L,62,3,5,N/A,4.6K,67,N/A,38,147,57,756,3.5K,722,386,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Udupi,54,68,50,70,27,12.8L,3.6L,15.2L,55.9K,183,1,N/A,N/A,N/A,385,1.6K,5L,131K,2L,54,5,18,N/A,1.1K,83,N/A,41,93,62,607,708,221,228,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Uttara Kannada,44,39,49,59,28,15.5L,4.5L,6.1L,53.8K,71,1,N/A,N/A,2,302,876,6.1L,120.3K,3.1L,55,5,5,N/A,2.6K,69,N/A,42,79,9,914,1.6K,433,174,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Vijayanagara,47,41,58,59,31,14.6L,4.4L,2.7L,N/A,9,0,N/A,N/A,N/A,122,796,6.5L,46K,1.1L,68,1,7,N/A,1.7K,79,N/A,N/A,9,0,N/A,.,N/A,13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Vijayapura,51,42,56,59,49,23.3L,7L,2.7L,41.8K,22,0,N/A,N/A,18,228,796,10L,139.4K,5.9L,64,1,5,N/A,3.6K,93,N/A,38,179,69,1K,5.1K,806,700,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Yadgir,42,36,64,42,28,12.4L,3.7L,1.5L,34.3K,0,0,N/A,N/A,14,175,101,5.2L,56.8K,2.8L,74,2,0,N/A,1.6K,72,N/A,32,101,13,531,1.4K,246,186,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
